Manufacturer,Part_no,Name,Description,Image,Quantity,Price,Weight,UPC,Condition,
"Panasonic","RPHJE120R","Panasonic RP-HJE120 Earbud Headphones, Red","","http://www.2cis.com/images/4222010122504PMPAN_RP-HJE120R.jpg","623","7.19970000","1.00","","New",
"Panasonic","RPHJE120S","Panasonic RP-HJE120 Earbud Headphones, Silver","","http://www.2cis.com/images/4222010122123PMPAN_RP-HJE120S.jpg","840","7.19970000","1.00","","New",
"Panasonic","RPHJE120V","Panasonic RP-HJE120 Earbud Headphones, Violet","","http://www.2cis.com/images/4222010122616PMPAN_RP-HJE120V.jpg","127","7.19970000","1.00","","New",
"Yamaha","NSAP540PKG","Yamaha NS-AP540 5 Speaker Home Theater Package NS-AP540E & NS-AP","","http://www.2cis.com/images/img150_yamahansap540.jpg","5","72.08970000","21.00","","New",
"HOO","BH50010 RB","Hoover BH50010 Platinum Collection Cordless Stick Vacuum Cleaner","The Hoover Platinum Collection?Cordless Stick Vacuum combines cordless convenience with powerful upright performance.","http://www.2cis.com/images/615201015302PMHoover_BH5001_1.jpg","569","95.77970000","11.00","073502029725","Refurbished",
"Motorola","T5500AA","Motorola T5500AA GMRS/FRS 8-Mile Two-Way Radio","","http://www.2cis.com/images/5142010123039PMMotorola_T5500AA.jpg","1","24.70970000","0.00","","New",
"Panasonic","DMPBD65 RB","Panasonic DMP-BD65 VIERA CAST Blu-ray Disc Player","Experience orignal movie quality with the DMP-BD65 Blu-ray Disc Player. In addition, the BD65 offers ultra fast booting and access to various online content with VIERA Cast.","http://www.2cis.com/images/5142010124353PMPAN_DMP-BD65.jpg","1","72.08970000","0.00","","Refurbished",
"Panasonic","HHRP103A","Panasonic HHR-P103A Cordless Telephone Battery, Type 25","","http://www.2cis.com/images/5142010123754PMPAN_HHR-P103A.jpg","11","11.31970000","1.00","","New",
"Panasonic","RPHJE350R","Panasonic RP-HJE350 Earbud Headphones, Red","","http://www.2cis.com/images/67201013120PMPAN_RP-HJE350R.jpg","2","16.46970000","0.00","","New",
"Sharp","LC52SB57U RB","Sharp LC-52SB57U  52"" 1080p 120Hz Widescreen LCD HDTV - 16:9 4ms","","http://www.2cis.com/images/617201011435PMSharp_LC-52SB57U.jpg","1","617.98970000","81.00","","Refurbished",
"Toshiba","DVR620 RB","Toshiba DVR620 DVD Recorder/HiFi VCR Combo With 1080p Upconversi","","http://www.2cis.com/images/6152010113809AMToshiba_DVR620.jpg","2","123.58970000","0.00","","Refurbished",
"Panasonic","HHRP305A","Panasonic HHR-P305A Rechargeable Battery for select Panasonic Co","","http://www.2cis.com/images/722010114438AMPAN_HHR-P305.jpg","12","6.16970000","1.00","","New",
"Panasonic","HHRP501A","Panasonic HHR-P501A Replacement Battery for select Panasonic Cor","","http://www.2cis.com/images/722010114124AMPAN_HHR-P501A.jpg","13","6.16970000","1.00","","New",
"Uniden","DECT20853 RB","Uniden DECT2085-3 DECT 6.0 Answering System with Dual Keypad and","","http://www.2cis.com/images/unidendect2085-3_sm.jpg","70","44.27970000","3.00","","Refurbished",
"MGABratz","KEYBOARD","Bratz Be-Bratz.com Mini Keyboard","","http://www.2cis.com/images/83201012051PMBratz_Keyboard.jpg","3203","13.37970000","2.00","","New",
"Panasonic","ER2403K","Panasonic ER2403K Wet/Dry Hair and Beard Trimmer with Quick Set","","http://www.2cis.com/images/7272010115853AMPAN_ER2403_Black.jpg","121","18.52970000","1.00","","New",
"Panasonic","DMPBD655 RB","Panasonic DMP-BD655 VIERA CAST Blu-ray Disc Player","","http://www.2cis.com/images/85201011851PMPAN_DMP-BD655.jpg","55","66.93970000","6.00","","Refurbished",
"Uniden","DXAI85803 RB","Uniden DXAI8580-3 5.8 GHz Digital Answering System with Extra Ha","","http://www.2cis.com/images/832010120028PMUniden_DXAI8580-3.jpg","7","39.12970000","0.00","","Refurbished",
"Panasonic","HHRP513A","Panasonic HHR-P513A Replacement Cordless Telephone Battery","","http://www.2cis.com/images/912010115451AMPAN_HHR-P513A.jpg","9","10.28970000","4.00","","New",
"Panasonic","HHRP516A","Panasonic HHR-P516A Replacement Battery for Panasonic Cordless T","","http://www.2cis.com/images/912010121719PMPAN_HHR-P516A.jpg","5","18.52970000","4.00","","New",
"Panasonic","HHRP105","Panasonic HHR-P105A Replacement Cordless Telephone Battery","","http://www.2cis.com/images/912010121339PMPAN_HHR-P105.jpg","48","9.25970000","4.00","","New",
"Panasonic","HHRP107A","Panasonic HHR-P107A Telephone Battery for select Cordless Panaso","","http://www.2cis.com/images/912010114600AMPAN_HHR-P107A.jpg","36","8.53870000","4.00","","New",
"Panasonic","HHRP402A","Panasonic HHR-P402A NiMH Rechargeable Cordless Telephone Battery","","http://www.2cis.com/images/912010114951AMPAN_HHR-P402A.jpg","28","8.74470000","4.00","","New",
"Panasonic","KXTG4023N RB","Panasonic KX-TG4023N Expandable Digital Cordless Phone with Answ","","http://www.2cis.com/images/9102010124717PMPAN_KX-TG4023N.jpg","1704","49.42970000","3.00","","Refurbished",
"Panasonic","KXTG6511B","Panasonic KX-TG6511B Expandable Digital Cordless Phone with 1 Ha","","http://www.2cis.com/images/816201014556PMPAN_KX-TG6511B.jpg","101","41.18970000","0.00","","New",
"Panasonic","KXTG6532B RB","Panasonic KX-TG6532B Expandable Digital Cordless Phone with Answ","","http://www.2cis.com/images/9102010122522PMPAN_KX-TG6532.jpg","10","51.48970000","0.00","","Refurbished",
"Panasonic","KXTG6533B RB","Panasonic KX-TG6533B Expandable Digital Cordless Phone with Answ","","http://www.2cis.com/images/9102010123357PMPAN_KX-TG6533B.jpg","17","59.72970000","4.00","","Refurbished",
"Panasonic","KXTG6534B RB","Panasonic KX-TG6534B Expandable Digital Cordless Phone with Answ","","http://www.2cis.com/images/9102010122422PMPAN_KX-TG6534B.jpg","2","77.23970000","0.00","","Refurbished",
"Panasonic","KXTG6582T RB","Panasonic KX-TG6582T Expandable Digital Cordless Phone with 2 ha","","http://www.2cis.com/images/9102010125123PMPAN_KX-TG6582.jpg","11","58.69970000","3.00","","Refurbished",
"Panasonic","WES9013C","Panasonic WES9013C Foil/Blade Combo for ES8109, ES8103 ES8101 &","","http://www.2cis.com/images/912010122204PMPAN_WES9013C.jpg","47","30.88970000","1.00","","New",
"Panasonic","HHRP401A","Panasonic HHR-P401A Cordless Telephone Battery, Type 16","","http://www.2cis.com/images/923201023702PMPAN_HHR-P401A.jpg","39","11.83470000","1.00","","New",
"Panasonic","KXTG4032B RB","Panasonic KX-TG4032B Expandable Digital Cordless Phone with Answ","","http://www.2cis.com/images/910201010214PMPAN_KX-TG4032B.jpg","9","42.21970000","3.00","","Refurbished",
"Panasonic","KXTG4034N RB","Panasonic KX-TG4034N Expandable Digital Cordless Phone with Answ","","http://www.2cis.com/images/PAN_KX-TG4034N.jpg","35","61.78970000","4.00","","Refurbished",
"Panasonic","KXTG4021N","Panasonic KX-TG4021N Expandable Digital Cordless Phone with Answ","","http://www.2cis.com/images/9302010120947PMPAN_KX-TG4021N.jpg","12","46.33970000","0.00","","New",
"Panasonic","KXTG6543B RB","Panasonic KX-TG6543B Expandable Digital Cordless Phone with 3 ha","","http://www.2cis.com/images/910201010926PMPAN_KX-TG6543B.jpg","1","77.23970000","2.00","","Refurbished",
"Panasonic","KXTG6544B RB","Panasonic KX-TG6544B Expandable Digital Cordless Phone with Answ","","http://www.2cis.com/images/9102010125903PMPAN_KX-TG6544B.jpg","1","75.17970000","4.00","","Refurbished",
"Panasonic","KXTG6545B RB","Panasonic KX-TG6545B Expandable Digital Cordless Phone with Answ","","http://www.2cis.com/images/910201011203PMPAN_KX-TG6545B.jpg","12","87.53970000","5.00","","Refurbished",
"Panasonic","KXTG7532B RB","Panasonic KX-TG7532B Expandable Digital Cordless Phone with Answ","","http://www.2cis.com/images/910201011450PMPAN_KX-TG7532B.jpg","3","51.48970000","0.00","","Refurbished",
"Panasonic","KXTG4024N RB","Panasonic KX-TG4024N Expandable Digital Cordless Phone with Answ","","http://www.2cis.com/images/1052010122557PMPAN_KX-TG4024N.jpg","227","65.90970000","4.00","","Refurbished",
"Samsung","ML2525 RB","Samsung ML-2525 Black and White Monochrome Laser Printer","","http://www.2cis.com/images/1052010121739PMSamsung_ML-2525W.jpg","1","71.05970000","19.00","","Refurbished",
"Panasonic","ESRW30S","Panasonic ES-RW30S Pro-curve Twin Blade Wet/dry Shaver","<p>Flexible pivoting head follows all the contours of your face / Shaves either dry or wet in the shower or with shaving foam / Pop-up trimmer</p>  <p>Panasonic's Wet and Dry Shaver features a flexible pivoting Head that follows all the contours of your face. You can shave either dry or wet, in the shower or with shaving foam. And clean the shaver by simply rinsing. The Wet and Dry Shaver is ideal for the traveling businessman, or for a quick shave before going out. </p>","http://www.2cis.com/images/PAN_ES-RW30S.jpg","18","39.12970000","2.00","","New",
"Panasonic","HHRP546","Panasonic HHR-P546 Panasonic Cordless Telephone Battery, Type 23","","http://www.2cis.com/images/PAN_HHR-P546.jpg","2","13.37970000","1.00","","New",
"Uniden","DCT7488 RB","Uniden DCT7488 2.4GHz Digital Expandable Answering System","","http://www.2cis.com/images/Uniden_DCT7488.jpg","13","30.88970000","0.00","","Refurbished",
"COBY","AC702","Cobra Electronics AC702 Radio, 75Wxst 4Ft. Coiled Extension","<p>&nbsp;</p>","http://www.2cis.com/images/Cobra_AC-702.jpg","3","10.28970000","1.00","","New",
"IGR","515","iGrip 515 FM Transmiter, Charger and Holder For MP3 Player","","http://www.2cis.com/images/iGRIP_515.JPG","24","4.10970000","1.00","","New",
"Samsung","CLP770ND RB","Samsung CLP-770ND Color Laser Printer","Get high-quality color for your workgroup at high speeds. The SAMSUNG CLP-770ND is ready to plug into your network, to produce full-color, professional-looking documents at the rate of 33 ppm. Bottlenecks will be a thing of the past. The CLP-770ND offers one of the lowest TCOs in its class, with features like built-in duplexing, 7,000-page toner yield and a 120,000-page monthly duty cycle, making it a true example of efficiency. The SAMSUNG CLP-770ND, with a paper capacity of up to 1,600 sheets (with optional trays), is a powerful,expandable printer that is a necessity in all fast-paced office environments.","http://www.2cis.com/images/Samsung_CLP-770.jpg","2","339.88970000","75.00","","Refurbished",
"Samsung","CLX6220FX RB","Samsung CLX-6220FX Laser Multifunction Printer, Color, Plain Pap","","http://www.2cis.com/images/Samsung_CLX-6220.jpg","15","339.84850000","96.00","","Refurbished",
"Samsung","ML3471ND RB","Samsung ML-3471ND Network-Ready Monochrome Laser Printer","Imagine a network-ready workgroup laser printer designed to perform as fast and efficiently as you. With a powerful 400 MHz processor with 64 MB memory, this Professional Series Printer is able to deliver a first-page-out in less than 9 seconds and continue to print at up to 35 ppm. With our exclusive TonerSave mode you can even print up to 40% more pages with the same toner cartridge. Built-in duplexing and a 50,000 pages-per-month duty cycle give the ML-3471ND the strength to power through the day. With a Samsung laser printer, it&rsquo;s not hard to imagine.","http://www.2cis.com/images/Samsung_ML-3471.jpg","1","123.58970000","32.00","","Refurbished",
"Panasonic","ER430K","Panasonic ER430K Wet/Dry Vacuum Nose & Ear Hair Trimmer","","http://www.2cis.com/images/PAN_ER430K.jpg","45","18.52970000","1.00","","New",
"Panasonic","ERGN30K","Panasonic ER-GN30k Ear and Nose Hair Trimmer","","http://www.2cis.com/images/PAN_ER-GN30K.jpg","200","16.46970000","1.00","","New",
"Panasonic","ESLA93K","Panasonic ES-LA93 Wet/Dry Shaver with Ultra-thin Vibrating Outer","","http://www.2cis.com/images/PAN_ES-LA93.jpg","10","226.58970000","3.00","","New",
"Audiovox","D1998 RB","Audiovox D1998 9"" Portable DVD Player","","http://www.2cis.com/images/Audiovox_D1998.jpg","24","61.78970000","5.00","","Refurbished",
"Memorex","MI3 RB","Memorex MI3 MiniMove Boombox for iPod, Silver","","http://www.2cis.com/images/Memorex_MI3_Silver.jpg","50","22.64970000","5.00","","Refurbished",
"Polaroid","DPA08040B RB","Polaroid DPA-08040B 8"" Swivel Portable DVD Player","","http://www.2cis.com/images/Polaroid_DPA-08040.jpg","4","54.57970000","6.00","","Refurbished",
"Polaroid","PDX0073S RB","Polaroid PDX-0073 7” widescreen Portable DVD Player","<p>The ultimate travel companion, this Polaroid 7&rdquo; Portable DVD Player delivers a fantastic color picture with amazing clarity. The sound is just as good thanks to a built-in Dolby Digital Decoder and built-in stereo speakers. Not only is the sound sharp and the picture clear, but the red exterior adds some pizzazz to your portable DVD player. And talk about versatile, besides DVDs, you can play or listen to DVD-R, DVD-RW, CD, CD-R, CD-RW, VCD, or view your latest vacation pictures on JPEG discs. And don&rsquo;t worry if your adventures are filled with bumpy roads, a built-in ESP function gives you an uninterrupted picture even while you&rsquo;re in motion.</p>","http://www.2cis.com/images/Polaroid_PDX-0073.jpg","5","61.78970000","6.00","","Refurbished",
"Polaroid","DPA1004 RB","Polaroid DPA-10040K 10"" Widescreen Portable Swivel DVD Player","","http://www.2cis.com/images/Polaroid_DPA-10040K.jpg","2","86.50970000","6.00","","Refurbished",
"HOO","UH30010COM","Hoover UH30010COM Platinum Lightweight Upright Vacuum with Compa","<p>The Hoover Platinum Collection Lightweight Bagged Upright removes more dirt from carpet than other lightweight bagged upright models tested. The unit also comes with a versatile, portable canister vacuum for floor to ceiling cleaning. Includes Hoover's best six year limited warranty.</p>","http://www.2cis.com/images/Hoover_UH30010COM.jpg","4","236.88970000","16.00","","New",
"MSE Manufacturing","7594302","MSE Laser Toner, Replacement for IBM 75P4302 Black Toner","","http://www.2cis.com/images/MSE_75P4304.jpg","2","70.02970000","0.00","","New",
"MSE Manufacturing","75P4304","MSE Laser Toner, Replacement for IBM 75P4304 Black High Yield To","","http://www.2cis.com/images/MSE_75P4304.jpg","5","41.18970000","6.00","","New",
"MSE Manufacturing","C8061X","MSE Toner, Replacement for HP C8061X Black High Yield","","http://www.2cis.com/images/MSE_C8061X.jpg","7","41.18970000","5.00","","New",
"MSE Manufacturing","C9722A","MSE Laser Toner, Replacement for HP C9722A Yellow Color Toner","","http://www.2cis.com/images/MSE_C9720A.jpg","4","41.18970000","4.00","","New",
"MSE Manufacturing","C9723A","MSE Laser Toner, Replacement for HP C9723A Magenta Color Toner","","http://www.2cis.com/images/MSE_C9720A.jpg","1","41.18970000","0.00","","New",
"MSE Manufacturing","Q1338","MSE Laser Toner, Replacement for HP Q1338A Black Toner","","http://www.2cis.com/images/MSE_Q1338A.jpg","10","28.82970000","6.00","","New",
"Toshiba","DR430 RB","Toshiba DR430 Tunerless Single Disc DVD Recorder","","http://www.2cis.com/images/Toshiba_DR430.jpg","18","72.08970000","7.00","","Refurbished",
"Panasonic","TCP46C2 RB","Panasonic TC-P46C2 46"" Class Viera C2 Series 720p Plasma TV","","http://www.2cis.com/images/PAN_TC-P46C2.jpg","1","514.98970000","55.00","","Refurbished",
"Panasonic","ES2502P","Panasonic ES2502P Battery Operated Pedicure Care Heel Buffer","Panasonic ES2502P Battery Operated Pedicure Care Heel Buffer with Dual Speed Settings, Portable Design, and Two Interchangeable Heads","http://www.2cis.com/images/PAN_ES2502P.jpg","163","26.76970000","1.00","","New",
"Panasonic","SDRD250","Panasonic SD-RD250 Automatic Bread Maker","","http://www.2cis.com/images/PAN_SD-RD250.jpg","6","164.78970000","0.00","","New",
"Panasonic","SDYD250","Panasonic SD-YD250 Automatic Bread Maker with YeastPro Yeast Dis","","http://www.2cis.com/images/PAN_SD-YD250.jpg","43","149.33970000","0.00","","New",
"HOO","F5917900","Hoover F5917900 SteamVac PowerMax with SpinScrub","","http://www.2cis.com/images/Hoover_F5917900.jpg","1","144.18970000","30.00","","New",
"Philips","PET741 RB","Philips PET741/37 - 7"" Portable DVD Player","","http://www.2cis.com/images/Philips_PET741.jpg","20","48.39970000","0.00","","Refurbished",
"Panasonic","MKG20NR","Panasonic MK-G20NR Super Meat Grinder","","http://www.2cis.com/images/PAN_MK-G20NR.jpg","10","118.43970000","8.00","","New",
"Panasonic","DMCG2K RB","Pansonic DMC-G2K 12.1 Megapixel Interchangeable Lens System Came","","http://www.2cis.com/images/PAN_DMC-G2K.jpg","12","576.78970000","0.00","","Refurbished",
"Panasonic","ES2113PC","Panasonic ES2113PC Facial Groomer with Pivoting Head and 2 Combs","","http://www.2cis.com/images/PAN_ES2113P.jpg","38","18.52970000","1.00","","New",
"Uniden","DECT15603 RB","Uniden DECT1560-3 DECT 6.0 Compact Cordless Phone","","http://www.2cis.com/images/Uniden_DECT1560-3.jpg","96","40.15970000","3.00","","Refurbished",
"Panasonic","ER421KC","Panasonic ER421KC Nose & Ear Trimmer with Light","","http://www.2cis.com/images/PAN_ER421KC.jpg","200","19.55970000","1.00","","New",
"Panasonic","DMCLX5K RB","Panasonic DMC-LX5 10.1 Megapixel 3.8x Optical Image Stabilized Z","","http://www.2cis.com/images/PAN_DMC-LX5_Black.jpg","2","247.18970000","2.00","","Refurbished",
"Panasonic","DMCZS7K RB","Panasonic DMC-ZS7 12.1 Megapixel, 16x Optical Zoom Digital Camer","","http://www.2cis.com/images/PAN_DMC-ZS7_Black.jpg","1","169.93970000","0.00","","Refurbished",
"Panasonic","DMPBDT105 RB","Panasonic DMP-BDT105 Panasonic 3D Blu-Ray Disc Player with Viera","","http://www.2cis.com/images/PAN_DMP-BDT105.jpg","2","82.38970000","0.00","","Refurbished",
"DIR","ND-XC18 RB","Dirt Devil ND-XC18ARM Shredr 18-Sheet Shredder","","http://www.2cis.com/images/DirtDevil_ND-XC18ARM.jpg","3","123.58970000","47.00","","Refurbished",
"Panasonic","ER224S","Panasonic ER224S All-in-One Cordless Hair/Beard Trimmer","","http://www.2cis.com/images/PAN_ER224S.jpg","15","32.94970000","1.00","","New",
"Sharp","UXC80B","Sharp UX-C80B Black Ink Cartridge","","http://www.2cis.com/images/Sharp_UX-C80B.jpg","5","30.88970000","0.00","","New",
"Panasonic","ES3831K","Panasonic ES3831 Pro-Curve Battery Operated Travel Shaver with S","","http://www.2cis.com/images/PAN_ES3831K.jpg","98","13.89470000","1.00","","New",
"Polaroid","PDM1040 RB","Polaroid PDM-1040 10'' Swivel Widescreen Portable DVD Player","","http://www.2cis.com/images/Polaroid_PDM-1040U.jpg","2","85.47970000","0.00","","Refurbished",
"Panasonic","BBHCM705A","Panasonic BB-HCM705A Indoor Network Camera","Panasonic BB-HCM705 is a highly compact indoor network camera that is only about 60% of the size of existing models. Thanks to its compactness, this model is inconspicuous and blends in well with the installation surface. It can be mounted on walls as well as on ceilings. Maximum resolution is SXVGA (1280 x 960).","http://www.2cis.com/images/PAN_BB-HCM705A.jpg","210","365.63970000","1.00","","New",
"Panasonic","TCP42S2 RB","Panasonic TC-P42S2 42"" Class Viera S2 Series 1080p Plasma","","http://www.2cis.com/images/PAN_TC-P42S2.jpg","2","463.48970000","0.00","","Refurbished",
"Panasonic","TCP42GT25 RB","Panasonic TC-P42GT25 42"" Class Viera GT25 Series Full HD 3D 1080","","http://www.2cis.com/images/PAN_TC-P42GT25.jpg","1","514.98970000","60.00","","Refurbished",
"Panasonic","DMCGH2K RB","Panasonic DMC-GH2 16.05 MP Live MOS Interchangeable Lens with 3-","","http://www.2cis.com/images/PAN_DMC-GH2_Body.jpg","1","628.28970000","5.00","","Refurbished",
"Panasonic","HDCSDX1 RB","Panasonic HDC-SDX1 Hi-Def 35.8mm Wide Lens & 23X Intelligent Zoo","","http://www.2cis.com/images/PAN_HDC-SDX1.jpg","15","211.13970000","3.00","","Refurbished",
"Panasonic","ES2207P","Panasonic ES2207P Close Curves Wet/Dry Ladies Shaver, Pink","","http://www.2cis.com/images/PAN_ES2207P.jpg","20","24.70970000","1.00","","New",
"HOO","BH50010","Hoover BH50010 Platinum Collection Cordless Stick Vacuum Cleaner","<p>Retire your dustpan and broom and transform your everyday floor cleaning! This sleek, versatile stick vacuum is always ready to deliver upright performance1 with Fade Free2 Lithium-Ion battery power. The only stick vacuum with Hoover WindTunnel technology and cyclonic filtration for no loss of suction3 even when moving from hard floors to low pile carpet.</p>","http://www.2cis.com/images/Hoover_BH50010.jpg","7","149.33970000","11.00","073502029725","New",
"Philips","PD700 RB","Philips PD700 7"" LCD  Portable DVD Player","","http://www.2cis.com/images/Philips_PD700.jpg","24","49.42970000","0.00","","Refurbished",
"Philips","PET741C RB","Philips PET741/37 - 7"" Portable DVD Player","","http://www.2cis.com/images/Philips_PET741.jpg","4","45.83500000","0.00","","Refurbished",
"Polaroid","DPA07042S RB","Polaroid DPA-07042S - 7"" Swivel Screen Portable DVD Player","","http://www.2cis.com/images/Polaroid_DPA-07042S.jpg","2","53.54970000","0.00","","Refurbished",
"Panasonic","WES9011PC","Panasonic WES9011PC Replacement Foil And Cutter Set For Men's Sh","Replacement Set for Panasonic ES8162, ES8164,ES8167, ES8168 Men's Shaver","http://www.2cis.com/images/PAN_WES9011PC.jpg","6","38.09970000","1.00","","New",
"Philips","PD7012 RB","Philips PD7012 7"" LCD Dual Screens Portable DVD Player","<p><b>Enjoy your movies on the road with two widescreen LCDs</b></p>  <p>Play your movies and music in car! The Philips PD7012 featuring two 7&rdquo; TFT LCD display screens let you indulge in enjoying your DVD movies, music and photos on the road. Install and mount easily for in-car enjoyment.</p>","http://www.2cis.com/images/Philips_PD7012.jpg","335","61.78970000","3.00","","Refurbished",
"Sanyo","VPCCG10 RB","Sanyo Xacti VPC-CG10 Dual Camera HD Flash Memory Camcorder with","","http://www.2cis.com/images/Sanyo_VPC-CG10.jpg","1","102.98970000","0.00","","Refurbished",
"Sanyo","VPCE1BL RB","Sanyo VPC-E1BL 6MP, 5x Waterproof Camcorder, Blue","<p>Boldly go where no camcorder has dared to go before with the Sanyo Xacti E1 Waterproof SD Memory Card Camcorder (Black). With it's IPX8 standard waterproof housing the E1 allows you to film on land and under water without worrying about damaging your camera!</p>  <p>The large 6.37 Megapixel CCD lets you take stunning video and still images, which can be stored easily to SD/SDHC memory cards. Store up to 10 hours of video on a 8GB SDHC memory card. It can then be easily transferred to your computer. </p>  <p>The E1's video can be imported directly to iTunes so you can carry home-videos on your iPod. The E1 has an ultra-fast start-up time of 1.7 seconds giving you the ability to start filming almost immediately.</p>","http://www.2cis.com/images/Sanyo_VPC-E1BL.jpg","3","87.53970000","0.00","","Refurbished",
"Toshiba","SDP74S RB","Toshiba SDP74S 7"" Portable DVD Player","","http://www.2cis.com/images/Toshiba_SDP74S.jpg","2","68.99970000","3.00","","Refurbished",
"JVC","GZHM300 RB","JVC GZ-HM300 HD Everio Flash Memory Camera","<p>JVC's entry-level high definition camcorder, the GZ-HM300 HD Everio Flash Memory Camera gets you into HD recording while remaining budget-friendly. The GZ-HM300 features dual SD/SDHC flash memory card slots for recording your footage. Once the first card is full the camera will automatically switch to the second card for seamless recording. When using 32GB cards you can store up to 14 hours and 40 minutes of footage per card - which gives you just over 29 hours of recording time without having to change out your media.</p>  <p>At the heart of the GZ-HM300 you'll find a 1/5.8&quot; 1.37MP CMOS sensor. The sensor works together with the Konica Minolta lens, 20x optical zoom, and JVC's Advanced Image Stabilizer to capture brilliant video and still images. The camera also features a Laser Touch Operation LCD that gives you a scroll bar on the side of the screen, and buttons at the bottom for controlling the camera, keeping the display free from fingerprints and smudges. </p>  <p>Among the user-friendly features of the camera you'll benefit from you'll find Time-Lapse REC, Auto REC, and Face Detection, with JVC's Face Flow Thumbnail. The GZ-HM300 also provides you with an HDMI output, a 2-way grip belt, and an A/V output. And when it's time to edit and share all that footage you've taken the camera comes with Everio MediaBrowser. This software helps you manage, edit, and transfer your files all with an easy to follow workflow.</p>","http://www.2cis.com/images/JVC_GZ-HM300.jpg","1","149.33970000","0.00","","Refurbished",
"JVC","VPRDL85GU2","JVC VPRDL85GU2 DVD+R MINI DVD 2 Pack","","http://www.2cis.com/images/JVC_VPRDL85GU2.jpg","2","4.10970000","1.00","","New",
"Philips","PD7012S RB","Philips PD7012S 7"" Single Screen DVD Player","<p><b>Enjoy your movies on the road with widescreen LCDs</b></p>  <p>Play your movies and music in car! The Philips PD7012 featuring two 7&rdquo; TFT LCD display screens let you indulge in enjoying your DVD movies, music and photos on the road. Install and mount easily for in-car enjoyment.</p>","http://www.2cis.com/images/Philips_PD7012S.jpg","156","46.33970000","5.00","","Refurbished",
"Panasonic","KXTGA401B RB","Panasonic KX-TGA401B Dect 6.0 Plus accessory handset with large","","http://www.2cis.com/images/PAN_KX-TGA401B.jpg","1","25.73970000","2.00","","Refurbished",
"JVC","VXHD215G","JVC VXHD215G 5ft HDMI to DVI Digital Video Cable","","http://www.2cis.com/images/JVC_VXHD215G.jpg","56","9.25970000","1.00","","New",
"JVC","VXHD230G","JVC VXHD230G 10ft HDMI to DVI Digital Video Cable","","http://www.2cis.com/images/JVC_VXHD215G.jpg","34","10.28970000","1.00","","New",
"JVC","VXHD250G","JVC VXHD250G 16.4ft HDMI to DVI Digital Video Cable","","http://www.2cis.com/images/JVC_VXHD215G.jpg","122","12.34970000","1.00","","New",
"Philips","PET741","Philips PET741/37 - 7"" Portable DVD Player","","http://www.2cis.com/images/Philips_PET741.jpg","2","63.84970000","0.00","","New",
"Panasonic","KXTG6572R RB","Panasonic KX-TG6572 Expandable Digital Cordless Phone w/ 2 hands","","http://www.2cis.com/images/PAN_KX-TG6572R.jpg","270","50.45970000","0.00","","Refurbished",
"Trutech","CR19 RB","TruTech CR19 Alarm Clock Radio","","http://www.2cis.com/images/Trutech_CR19.jpg","1","8.22970000","1.00","","Refurbished",
"Panasonic","RPDJS400K","Panasonic RP-DJS400 DJ Street Model Headphones, Black","<p>&nbsp;</p>","http://www.2cis.com/images/PAN_RP-DJS400_Black.jpg","174","27.79970000","1.00","","New",
"Memorex","MI2032 RB","Memorex MI2032 Speaker system for iPod","","http://www.2cis.com/images/Memorex_Mi2032.jpg","4","20.58970000","2.00","","Refurbished",
"Memorex","MI9490 RB","Memorex Mi9490 Hi-Fidelity iPod and CD Sound System","","http://www.2cis.com/images/Memorex_MI9490.jpg","4","30.88970000","7.00","","Refurbished",
"Panasonic","RPDJS400D","Panasonic RP-DJS400 DJ Street Model Headphones, Orange","","http://www.2cis.com/images/PAN_RP-DJS400_Orange.jpg","134","27.79970000","1.00","","New",
"Panasonic","RPDJS400R","Panasonic RP-DJS400 DJ Street Model Headphones, Red","","http://www.2cis.com/images/PAN_RP-DJS400_Red.jpg","188","27.79970000","1.00","","New",
"Panasonic","RPDJS400W","Panasonic RP-DJS400 DJ Street Model Headphones, White","","http://www.2cis.com/images/PAN_RP-DJS400_White.jpg","207","27.79970000","1.00","","New",
"Panasonic","RPHV096","nasonic RP-HV096 Basic Earbuds","","http://www.2cis.com/images/PAN_RP-HV096.jpg","6399","4.93370000","1.00","","New",
"Panasonic","RPHJC120K","Panasonic RP-HJC120K Earbud Headphones /w Iphone Controller, Bla","","http://www.2cis.com/images/PAN_RP-HJC120K.jpg","137","14.40970000","1.00","","New",
"Panasonic","RPHJC120W","Panasonic RP-HJC120 Earbud Headphones /w Iphone Controller, Whit","","http://www.2cis.com/images/PAN_RP-HJE120W.jpg","196","14.40970000","1.00","","New",
"Panasonic","TC42PX24 RB","Panasonic TC-42PX24 Class Viera 42"" Series 720p Plasma TV","","http://www.2cis.com/images/PAN_TC-42PX24.jpg","1","381.08970000","65.00","","Refurbished",
"Audiovox","D1929 RB","Audiovox D1929B - 9"" Widescreen Portable DVD Player W/car Access","","http://www.2cis.com/images/Audiovox_D1929B.jpg","1","51.48970000","3.00","","Refurbished",
"Panasonic","RPHJE180R","Panasonic RP-HJE180 Inner Ear Earbuds Large Driver, Red","","http://www.2cis.com/images/PAN_RP-HJE180-R.jpg","3","13.37970000","0.00","","New",
"Samsung","PL200BK RB","Samsung PL200 - 14.2 Megapixel Compact Digital Camera","","http://www.2cis.com/images/Samsung_PL200_Black.jpg","16","87.53970000","1.00","","Refurbished",
